,DLM_2,DLM_3,LM_C,LM_L,ULM_L
DLM_2,0,27,34,38,20
DLM_3,25,0,25,39,19
LM_C,18,27,0,37,13
LM_L,14,13,15,0,9
ULM_L,32,33,39,43,0
