,DLM_2,DLM_3,LM_C,LM_L,ULM_L
DLM_2,0,26,28,35,22
DLM_3,26,0,26,29,19
LM_C,24,26,0,27,21
LM_L,17,23,25,0,21
ULM_L,30,33,31,31,0
