,DLM_2,DLM_3,LM_C,LM_L,ULM_L
DLM_2,0,4,5,6,3
DLM_3,4,0,3,5,1
LM_C,3,5,0,5,1
LM_L,2,3,3,0,1
ULM_L,5,7,7,7,0
